game_date,game_id,play_id,classification,gt_outcome,model_call,prob,correct
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,1dc9073c-cf9b-4695-919c-73e175f72a00,FG_MISS,MISS,MISS,0.4088689417466844,True
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,6c60eb0e-bffe-43f1-b495-8a110170f9ae,4PT_MISS,MISS,MISS,0.41438188943639154,True
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,18b5f2cf-329f-4c25-b315-bd57b24c6e35,FG_MAKE,MAKE,MISS,0.4198680152985763,False
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,b5317ee3-6bff-4869-91dd-7d89d9308e34,FG_MISS,MISS,MISS,0.43144262210470313,True
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,ae0b700b-a420-49f9-b820-4c884be8b4f4,3PT_MAKE,MAKE,MISS,0.4629314646260956,False
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,9bd1e2ad-706d-4c11-86ee-65ace00eafc8,FG_MISS,MISS,MISS,0.46622203217531233,True
2026-04-18,6d601c99-9173-445f-a647-dadbb152fe96,710f9fc6-7f8a-4cfb-9df2-cf40496a4779,FG_MAKE,MAKE,MISS,0.4685525229194916,False
2026-04-18,6d601c99-9173-445f-a647-dadbb152fe96,ef1b2427-6f5a-4204-9445-c44a603185b4,FG_MISS,MISS,MISS,0.4818641308740369,True
2026-04-18,6d601c99-9173-445f-a647-dadbb152fe96,5ef5813c-90a3-4bd5-bf69-7aa05df666f5,FG_MISS,MISS,MISS,0.4944334945480735,True
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,81e1031f-ac3a-4c87-b571-3545935213fa,3PT_MAKE,MAKE,MISS,0.5075730373338126,False
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,50347b79-f45a-4749-a87f-c464948a74dc,FREE_THROW_MAKE,MAKE,MISS,0.5079789771454426,False
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,8f66fee7-d569-4f09-8d35-571af8561166,4PT_MAKE,MAKE,MISS,0.5107243913134965,False
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,2bd9ef2d-840a-436d-9c79-900ca1019db3,4PT_MISS,MISS,MISS,0.5149696334956098,True
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,a4fb9b66-ebec-4c66-99c5-b49194e9099e,FG_MISS,MISS,MISS,0.5301605038767452,True
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,8fcf29a5-4c55-4aa0-8415-76ffcf07f2a5,FG_MISS,MISS,MAKE,0.5541088948135761,False
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,2a6a4c75-fcab-4f69-80ad-a2e9db412834,FG_MISS,MISS,MAKE,0.5632767138444504,False
2026-04-18,6d601c99-9173-445f-a647-dadbb152fe96,5959091b-38dd-4f04-b648-8ccca8982681,FG_MAKE,MAKE,MAKE,0.591415696031985,True
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,70915d49-d22f-46ce-a8aa-24b43c5fddd0,FG_MAKE,MAKE,MAKE,0.5989924986443727,True
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,9756348b-6a46-41bc-a0d0-ddd371950d5e,4PT_MAKE,MAKE,MAKE,0.6030401321500348,True
