game_date,game_id,play_id,classification,gt_outcome,model_call,confidence,prob,correct,model_cries,error_class,frac_inside_rim_max,through_hoop_conf_max,g_far_dmin,g_near_inside
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,6572233b-994d-4a24-8f22-3a7882c505c0,FG_MISS,MISS,MAKE,0.998,0.9982455137289218,False,False,DEPTH-ILLUSION (near-cam parallax; needs break-beam sensor),0.12698412698412698,0.5084429383277893,5.068754592854464,0.08064516129032258
2026-04-18,6d601c99-9173-445f-a647-dadbb152fe96,c49d07f5-1ecf-427a-aaee-a965c5c9b202,FREE_THROW_MISS,MISS,MAKE,0.997,0.9972527006059962,False,False,High-conf FP (possible mislabel / in-and-out),0.2471264367816092,0.6860874928534031,1.4000904421158622,0.24855491329479767
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,b7f1e5e1-4f37-46da-8daa-9a26974310cb,FREE_THROW_MISS,MISS,MAKE,0.995,0.9948162168843385,False,False,DEPTH-ILLUSION (near-cam parallax; needs break-beam sensor),0.2717391304347826,0.6639954671263695,2.3662141201553104,0.25274725274725274
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,6b1f7fc0-1f37-4507-80df-37476aba9493,FREE_THROW_MISS,MISS,MAKE,0.992,0.9918014688104884,False,False,DEPTH-ILLUSION (near-cam parallax; needs break-beam sensor),0.17032967032967034,0.5448856353759766,7.375664385426097,0.17032967032967034
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,7f5aaca9-7984-46c5-ad59-462cad4c462b,FREE_THROW_MISS,MISS,MAKE,0.991,0.991403751110643,False,False,High-conf FP (possible mislabel / in-and-out),0.18779342723004694,0.5829313639551401,1.3821408156186912,0.18719211822660098
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,962fc55f-5ef0-49a0-a9f6-715eea8d8840,FREE_THROW_MISS,MISS,MAKE,0.988,0.9884781970747791,False,False,High-conf FP (possible mislabel / in-and-out),0.20444444444444446,0.6206044703722,1.3076179591494157,0.20754716981132076
2026-04-18,6d601c99-9173-445f-a647-dadbb152fe96,8456e087-69e4-4f13-ab05-143a2210f2aa,3PT_MISS,MISS,MAKE,0.986,0.9855535953055437,False,False,DEPTH-ILLUSION (near-cam parallax; needs break-beam sensor),0.17204301075268819,0.6479845643043518,3.107439316882205,0.16129032258064516
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,3d070076-627a-48e9-930f-7fa4ead1b921,FG_MISS,MISS,MAKE,0.984,0.9840724808697673,False,False,DEPTH-ILLUSION (near-cam parallax; needs break-beam sensor),0.1826086956521739,0.7359102331101894,2.916190153571783,0.17543859649122806
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,8df06b5d-7473-429e-b656-c19b6ab59523,FG_MISS,MISS,MAKE,0.984,0.9840469841424014,False,False,High-conf FP (possible mislabel / in-and-out),0.2214765100671141,0.5670369006693363,3.4705947242959847,0.21476510067114093
2026-04-18,6d601c99-9173-445f-a647-dadbb152fe96,c78720ae-c761-467c-afdb-c6d10cf1bf76,FG_MISS,MISS,MAKE,0.965,0.9649714474166599,False,False,DEPTH-ILLUSION (near-cam parallax; needs break-beam sensor),0.13286713286713286,0.6731226742267609,3.0157744042478214,0.13986013986013987
2026-04-18,6d601c99-9173-445f-a647-dadbb152fe96,2436b728-053c-41d9-a607-0a2092549d00,4PT_MISS,MISS,MAKE,0.961,0.9607867260982013,False,False,DEPTH-ILLUSION (near-cam parallax; needs break-beam sensor),0.2789115646258503,0.6000882647931576,5.836850368663458,0.2671232876712329
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,e889f97b-5827-4f61-a9d7-8b198f3399db,FREE_THROW_MISS,MISS,MAKE,0.931,0.9314297289718363,False,False,High-conf FP (possible mislabel / in-and-out),0.19083969465648856,0.6988031230866909,1.212254802217702,0.19421487603305784
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,87ce88f0-24ee-4593-8e29-703ba248222b,FG_MISS,MISS,MAKE,0.931,0.9306089396226904,False,False,DEPTH-ILLUSION (near-cam parallax; needs break-beam sensor),0.12698412698412698,0.650639017422994,2.9318231207668015,0.10569105691056911
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,1eb1452a-5313-4356-a718-59d616923eab,FG_MISS,MISS,MAKE,0.904,0.9037403821943905,False,False,High-conf FP (possible mislabel / in-and-out),0.09090909090909091,0.44629351794719696,3.5845762496035944,0.0979020979020979
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,1148d96f-e67c-4f19-b96e-ddd4ec6d42cc,FG_MISS,MISS,MAKE,0.868,0.8679141548164792,False,False,DEPTH-ILLUSION (near-cam parallax; needs break-beam sensor),0.09876543209876543,0.9119841456413269,7.838250204431625,0.05405405405405406
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,07418677-2a17-4fc7-9b7e-fc856dde24e7,FG_MISS,MISS,MAKE,0.84,0.8401215448224163,False,False,Rim-grazer FP (ambiguous),0.17307692307692307,0.622473806142807,1.3199447161549906,0.13333333333333333
2026-04-18,6d601c99-9173-445f-a647-dadbb152fe96,0fa79bab-8a3d-4944-b8b3-541c503a5877,3PT_MISS,MISS,MAKE,0.835,0.8349627542081156,False,False,Rim-grazer FP (ambiguous),0.15315315315315314,0.8974868655204773,1.6905567137778896,0.15315315315315314
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,fee0a901-83cf-4cba-aa6c-a6155beb84e2,FG_MISS,MISS,MAKE,0.817,0.817374808603941,False,False,DEPTH-ILLUSION (near-cam parallax; needs break-beam sensor),0.3333333333333333,0.7374869585037231,2.9295322917063635,0.1588785046728972
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,5e68d426-f35c-4e58-8012-e2b908de237b,4PT_MISS,MISS,MAKE,0.799,0.7988171076990103,False,False,Rim-grazer FP (ambiguous),0.21875,0.6665037199854851,1.2567621444665593,0.17045454545454544
2026-04-18,6d601c99-9173-445f-a647-dadbb152fe96,2a57cd9f-bf52-4d6b-a3d8-ac5812e413a0,3PT_MISS,MISS,MAKE,0.79,0.789570594124239,False,False,DEPTH-ILLUSION (near-cam parallax; needs break-beam sensor),0.09714285714285714,0.5283866226673126,3.41579891524007,0.0755813953488372
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,6e68428f-302e-409f-a912-432be2560ac7,FG_MISS,MISS,MAKE,0.786,0.7863120193307146,False,False,DEPTH-ILLUSION (near-cam parallax; needs break-beam sensor),0.09219858156028368,0.5852199345827103,3.2398064566676466,0.0661764705882353
